claim_id,device_id,customer_id,model,days_since_install,days_to_warranty_expiry,claim_reason,true_scenario,is_fraud,claim_date,customer_prior_claims_count,customer_devices_owned,pct_of_warranty_elapsed,n_days_observed,telemetry_uptime_pct,telemetry_uptime_pct_recent14,max_consecutive_missing_days,temp_mean,temp_max,temp_std,pct_days_over_rated_temp,pressure_mean,pressure_max,pct_days_over_rated_pressure,vibration_mean,vibration_max,runtime_hours_mean,runtime_hours_mean_recent14,runtime_hours_mean_prior,pct_days_over_rated_duty,error_code_total,error_code_recent14,power_draw_mean,usage_spike_ratio_recent_vs_prior,rated_max_temp_c,rated_max_pressure_kpa,rated_duty_cycle_hrs_day,unit_price_usd
CLM-0002134,DEV-0003307,CUST-002528,AquaHeat SH-200,101,619,error_code_fault,normal_defect,0,2024-09-04,0,2,0.14027777777777778,90,0.9777777777777777,1.0,1,48.85761363636364,56.14,1.8452610906550528,0.0,419.7306818181818,479.5,0.0,1.1926477272727272,1.536,2.4720454545454547,2.449333333333333,2.4767123287671233,0.0,1.0,0.0,3.6710227272727276,0.9889454277286135,65,600,4,420
CLM-0001215,DEV-0002900,CUST-002218,AquaHeat SH-Compact,54,666,inconsistent_temp,normal_defect,0,2024-09-04,0,1,0.075,55,0.9818181818181818,1.0,1,44.47962962962962,52.54,1.9831316600246978,0.0,385.2851851851853,458.9,0.0,1.2094814814814812,1.494,1.884074074074074,1.838666666666667,1.9015384615384618,0.0,0.0,0.0,2.8051851851851857,0.9669363538295577,60,550,3,310
CLM-0001606,DEV-0003209,CUST-002457,AquaHeat SH-200,726,-6,no_heat,misuse_claimed_as_defect,1,2024-09-04,0,2,1.0083333333333333,90,0.9777777777777777,0.8666666666666667,1,67.00022727272727,74.49,1.8488007776852233,0.8777777777777778,571.3522727272729,630.9,0.011111111111111112,1.8130568181818183,2.127,5.985,6.053076923076923,5.973199999999999,0.9777777777777777,10.0,1.0,9.011136363636362,1.0133725512417002,65,600,4,420
CLM-0002652,DEV-0001134,CUST-000859,AquaHeat SH-400 Pro,261,459,unusual_noise,normal_defect,0,2024-09-04,0,2,0.3625,90,0.9777777777777777,1.0,1,56.45545454545454,65.38,1.937130778518206,0.0,524.0272727272727,588.6,0.0,1.1684999999999999,1.559,3.5953409090909094,3.466,3.6219178082191776,0.0,0.0,0.0,5.365000000000001,0.9569515885022695,75,750,6,640
CLM-0001199,DEV-0001536,CUST-001159,AquaHeat SH-200,352,368,error_code_fault,normal_defect,1,2024-09-05,0,2,0.4888888888888889,90,1.0,1.0,0,48.67088888888889,55.75,1.7930174456901726,0.0,419.94222222222226,486.1,0.0,1.1730666666666667,1.586,2.3725555555555555,2.3733333333333335,2.3724000000000003,0.0,0.0,0.0,3.563222222222223,1.0003934131399987,65,600,4,420
CLM-0001880,DEV-0001494,CUST-001129,AquaHeat SH-200,178,542,other,normal_defect,0,2024-09-05,0,2,0.24722222222222223,90,0.9888888888888889,1.0,1,48.568651685393256,55.9,1.8764310847815933,0.0,421.8741573033708,491.2,0.0,1.1955955056179774,1.609,2.317303370786517,2.4453333333333327,2.291351351351351,0.0,3.0,0.0,3.428651685393258,1.0672013839742078,65,600,4,420
CLM-0002020,DEV-0002885,CUST-002208,AquaHeat SH-400 Pro,370,350,leak,normal_defect,0,2024-09-05,0,1,0.5138888888888888,90,1.0,1.0,0,56.50299999999999,63.73,1.8921793213830618,0.0,524.4677777777778,588.0,0.0,1.1964333333333335,1.6,3.551444444444444,3.522666666666667,3.5571999999999995,0.0,1.0,0.0,5.383444444444444,0.9902919899546462,75,750,6,640
CLM-0000085,DEV-0003445,CUST-002624,AquaHeat SH-Compact,38,682,unusual_noise,pre_existing_damage,1,2024-09-05,0,1,0.05277777777777778,39,0.8974358974358975,0.9333333333333333,1,52.80171428571428,64.76,4.140254670850067,0.05128205128205128,384.46571428571434,460.3,0.0,3.035428571428571,4.077,1.7465714285714284,1.7449999999999999,1.7476190476190478,0.0,7.0,2.0,2.6388571428571432,0.99850136239782,60,550,3,310
CLM-0000669,DEV-0001690,CUST-001279,AquaHeat SH-200,663,57,no_heat,normal_defect,0,2024-09-05,0,3,0.9208333333333333,90,0.9888888888888889,1.0,1,48.80977528089888,57.66,1.9034627402376263,0.0,417.1719101123597,481.2,0.0,1.1984044943820222,1.462,2.390561797752809,2.3680000000000003,2.3951351351351358,0.0,2.0,0.0,3.6587640449438203,0.988670728955089,65,600,4,420
CLM-0001739,DEV-0002103,CUST-001593,AquaHeat SH-200,459,261,error_code_fault,normal_defect,0,2024-09-05,0,3,0.6375,90,0.9777777777777777,1.0,1,48.626022727272726,57.86,2.0198529249819135,0.0,418.27727272727276,480.4,0.0,1.225340909090909,1.582,2.337613636363636,2.4306666666666663,2.3184931506849313,0.0,1.0,0.0,3.486704545454546,1.04838207779419,65,600,4,420
